imageurl,name,redirect,area,class,rateon99,rates,sold,Latitude,Longitude,ran
https://static.99acres.com/images/locationREI/defaultLocality.png,Chhatrapati Sambhaji Nagar,https://www.99acres.com/property-rates-and-price-trends-in-chhatrapati-sambhaji-nagar-pune-prffid#registry-transaction-prt,West Pune,N/A,,,1,18.5165436,73.8366021,
https://static.99acres.com/images/locationREI/defaultLocality.png,Chandrabhaga Nagar,https://www.99acres.com/property-rates-and-price-trends-in-chandrabhaga-nagar-pune-prffid#registry-transaction-prt,South Pune,N/A,,"₹ 8,939 /sq.ft",1,18.4550979,73.8499928,
https://static.99acres.com/images/locationREI/defaultLocality.png,Vakil Nagar,https://www.99acres.com/property-rates-and-price-trends-in-vakil-nagar-pune-prffid#registry-transaction-prt,Central Pune,N/A,,"₹ 9,278 /sq.ft",1,18.5002917,73.8316141,
https://static.99acres.com/images/locationREI/defaultLocality.png,Pratibha Nagar,https://www.99acres.com/property-rates-and-price-trends-in-pratibha-nagar-pune-prffid#registry-transaction-prt,South Pune,N/A,,"₹ 5,350 /sq.ft",1,18.4671103,73.8526422,
https://mediacdn.99acres.com/media1/21492/2/429842924M-1687614128111.jpg,Vishnu Dev Nagar,https://www.99acres.com/property-rates-and-price-trends-in-vishnu-dev-nagar-pune-prffid#registry-transaction-prt,West Pune,MID-SEGMENT,"₹7,850/ sq.ft","₹ 6,407 /sq.ft",1,18.5995992,73.7735262,MID-SEGMENT
https://static.99acres.com/images/locationREI/defaultLocality.png,Satavwadi,https://www.99acres.com/property-rates-and-price-trends-in-satavwadi-pune-prffid#registry-transaction-prt,East Pune,N/A,,"₹ 9,089 /sq.ft",1,18.4953248,73.9484731,
https://static.99acres.com/images/locationREI/defaultLocality.png,Preet Nagar,https://www.99acres.com/property-rates-and-price-trends-in-preet-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 8,260 /sq.ft",1,18.5588862,73.9297363,
https://static.99acres.com/images/locationREI/defaultLocality.png,Sector No 1 Bhosari,https://www.99acres.com/property-rates-and-price-trends-in-sector-no-1-bhosari-pune-prffid#registry-transaction-prt,North Pune,N/A,,"₹ 4,647 /sq.ft",1,18.6340785,73.8463172,
https://static.99acres.com/images/locationREI/defaultLocality.png,Ramchandra Nagar,https://www.99acres.com/property-rates-and-price-trends-in-ramchandra-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 11,820 /sq.ft",1,18.4676003,73.8488901,
https://static.99acres.com/images/locationREI/defaultLocality.png,Gulab Nagar,https://www.99acres.com/property-rates-and-price-trends-in-gulab-nagar-pune-prffid#registry-transaction-prt,South Pune,N/A,,"₹ 4,921 /sq.ft",1,18.4639924,73.8529332,
https://static.99acres.com/images/locationREI/defaultLocality.png,Shanti Nagar,https://www.99acres.com/property-rates-and-price-trends-in-shanti-nagar-pune-prffid#registry-transaction-prt,North Pune,N/A,,,1,18.567507,73.87572,
https://static.99acres.com/images/locationREI/defaultLocality.png,Swami Samartha Nagar,https://www.99acres.com/property-rates-and-price-trends-in-swami-samartha-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 4,523 /sq.ft",1,18.4468073,73.8705748,
https://static.99acres.com/images/locationREI/defaultLocality.png,Gosai Mala,https://www.99acres.com/property-rates-and-price-trends-in-gosai-mala-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 4,737 /sq.ft",1,18.4684953,73.8261001,
https://static.99acres.com/images/locationREI/defaultLocality.png,Pawna Nagar,https://www.99acres.com/property-rates-and-price-trends-in-pawna-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 3,614 /sq.ft",1,18.5738751,73.8249973,
https://static.99acres.com/images/locationREI/defaultLocality.png,Balwant Darshan Colony,https://www.99acres.com/property-rates-and-price-trends-in-balwant-darshan-colony-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 3,461 /sq.ft",1,18.6281261,73.7867629,
https://mediacdn.99acres.com/media1/21398/2/427962084M-1686674803874.jpg,Shivneri Nagar,https://www.99acres.com/property-rates-and-price-trends-in-shivneri-nagar-pune-prffid#registry-transaction-prt,South Pune,N/A,,"₹ 5,511 /sq.ft",1,18.478314,73.8893174,
https://mediacdn.99acres.com/media1/20679/11/413591700M-1679463928559.jpg,Somnath Nagar,https://www.99acres.com/property-rates-and-price-trends-in-somnath-nagar-pune-prffid#registry-transaction-prt,East Pune,N/A,,"₹ 3,446 /sq.ft",1,18.5581835,73.9216532,
https://static.99acres.com/images/locationREI/defaultLocality.png,Vetal Nagar,https://www.99acres.com/property-rates-and-price-trends-in-vetal-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 5,673 /sq.ft",1,18.4927188,73.9433299,
https://static.99acres.com/images/locationREI/defaultLocality.png,Anand Park Nagar,https://www.99acres.com/property-rates-and-price-trends-in-anand-park-nagar-pune-prffid#registry-transaction-prt,North Pune,N/A,,"₹ 6,359 /sq.ft",1,18.5808488,73.8841725,
https://static.99acres.com/images/locationREI/defaultLocality.png,Bharati Niwas Colony,https://www.99acres.com/property-rates-and-price-trends-in-bharati-niwas-colony-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 4,604 /sq.ft",1,18.5115473,73.8327168,
https://static.99acres.com/images/locationREI/defaultLocality.png,Prasad Nagar,https://www.99acres.com/property-rates-and-price-trends-in-prasad-nagar-pune-prffid#registry-transaction-prt,East Pune,N/A,,"₹ 6,519 /sq.ft",1,18.5468586,73.9223891,
https://static.99acres.com/images/locationREI/defaultLocality.png,Hingane Home Colony,https://www.99acres.com/property-rates-and-price-trends-in-hingane-home-colony-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 5,162 /sq.ft",1,18.489072,73.8102927,
https://static.99acres.com/images/locationREI/defaultLocality.png,Bhigwan,https://www.99acres.com/property-rates-and-price-trends-in-bhigwan-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 2,615 /sq.ft",1,18.2989478,74.7542571,
https://static.99acres.com/images/locationREI/defaultLocality.png,Warulwadi,https://www.99acres.com/property-rates-and-price-trends-in-warulwadi-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,"₹ 2,663 /sq.ft",1,19.11125,73.9664329,
https://static.99acres.com/images/locationREI/defaultLocality.png,Ganeshwadi,https://www.99acres.com/property-rates-and-price-trends-in-ganeshwadi-pune-prffid#registry-transaction-prt,Rest of Pune,N/A,,,1,18.519125,73.8411712,
https://static.99acres.com/images/locationREI/defaultLocality.png,Karve Road,https://www.99acres.com/property-rates-and-price-trends-in-karve-road-pune-prffid#registry-transaction-prt,West Pune,N/A,,"₹ 17,297 /sq.ft",1,18.5032611,73.8198501,
https://static.99acres.com/images/locationREI/defaultLocality.png,Wakdewadi,https://www.99acres.com/property-rates-and-price-trends-in-wakdewadi-pune-prffid#registry-transaction-prt,Central Pune,N/A,,"₹ 9,837 /sq.ft",1,18.5424091,73.8521981,
https://static.99acres.com/images/locationREI/defaultLocality.png,Malwadi,https://www.99acres.com/property-rates-and-price-trends-in-malwadi-pune-prffid#registry-transaction-prt,East Pune,N/A,,"₹ 8,453 /sq.ft",1,18.5053012,73.9389213,
https://static.99acres.com/images/locationREI/defaultLocality.png,Alandi Road,https://www.99acres.com/property-rates-and-price-trends-in-alandi-road-pune-prffid#registry-transaction-prt,North Pune,MID-SEGMENT,"₹5,550/ sq.ft","₹ 7,310 /sq.ft",1,18.5923942,73.8741558,MID-SEGMENT
https://static.99acres.com/images/locationREI/defaultLocality.png,Varsha Park Society,https://www.99acres.com/property-rates-and-price-trends-in-varsha-park-society-pune-prffid#registry-transaction-prt,West Pune,N/A,,"₹ 8,899 /sq.ft",1,18.5529642,73.7999987,
