imageurl,name,redirect,area,class,rateon99,rates,sold
https://static.99acres.com/images/locationREI/defaultLocality.png,Tukaram Nagar,https://www.99acres.com/property-rates-and-price-trends-in-tukaram-nagar-pune-prffid#registry-transaction-prt,East Pune,MID-SEGMENT,"₹7,850/ sq.ft","₹ 8,954 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,North Hadapsar,https://www.99acres.com/property-rates-and-price-trends-in-north-hadapsar-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 10,817 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Bakori,https://www.99acres.com/property-rates-and-price-trends-in-bakori-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 5,267 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Shani Nagar,https://www.99acres.com/property-rates-and-price-trends-in-shani-nagar-pune-prffid#registry-transaction-prt,South Pune,,NA,"₹ 6,376 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Niranjan Park,https://www.99acres.com/property-rates-and-price-trends-in-niranjan-park-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 5,493 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Kasarwadi,https://www.99acres.com/property-rates-and-price-trends-in-kasarwadi-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 7,411 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Loni,https://www.99acres.com/property-rates-and-price-trends-in-loni-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,898 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Talawade,https://www.99acres.com/property-rates-and-price-trends-in-talawade-pune-prffid#registry-transaction-prt,North Pune,,NA,"₹ 4,904 /sq.ft",10
https://mediacdn.99acres.com/media1/20377/6/407546142M-1676481497781.jpg,Kalewadi,https://www.99acres.com/property-rates-and-price-trends-in-kalewadi-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 9,332 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,"Pradhikaran, Nigdi",https://www.99acres.com/property-rates-and-price-trends-in-pradhikaran-nigdi-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 8,688 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Bibwewadi Kondhwa Road,https://www.99acres.com/property-rates-and-price-trends-in-bibwewadi-kondhwa-road-pune-prffid#registry-transaction-prt,South Pune,PREMIUM,"₹9,950/ sq.ft","₹ 11,970 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Bhekrai Nagar,https://www.99acres.com/property-rates-and-price-trends-in-bhekrai-nagar-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 5,133 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Khadki,https://www.99acres.com/property-rates-and-price-trends-in-khadki-pune-prffid#registry-transaction-prt,North Pune,,NA,"₹ 7,978 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Chandoli,https://www.99acres.com/property-rates-and-price-trends-in-chandoli-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 3,508 /sq.ft",10
https://static.99acres.com/images/locationREI/defaultLocality.png,Mathura Nagar,https://www.99acres.com/property-rates-and-price-trends-in-mathura-nagar-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 7,192 /sq.ft",9
https://static.99acres.com/images/locationREI/defaultLocality.png,Gandhi Peth,https://www.99acres.com/property-rates-and-price-trends-in-gandhi-peth-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 6,535 /sq.ft",9
https://static.99acres.com/images/locationREI/defaultLocality.png,Kedari Nagar,https://www.99acres.com/property-rates-and-price-trends-in-kedari-nagar-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 10,580 /sq.ft",9
https://mediacdn.99acres.com/media1/20588/11/411771538M-1678640680868.jpg,Deccan Gymkhana,https://www.99acres.com/property-rates-and-price-trends-in-deccan-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 19,076 /sq.ft",9
https://static.99acres.com/images/locationREI/defaultLocality.png,Market yard,https://www.99acres.com/property-rates-and-price-trends-in-market-yard-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 12,621 /sq.ft",9
https://mediacdn.99acres.com/media1/16807/1/336141678M-1640586831090.jpg,Camp,https://www.99acres.com/property-rates-and-price-trends-in-camp-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 12,072 /sq.ft",9
